Orson_Scott_Card,1951-08-24,,http://commons.wikimedia.org/wiki/Special:FilePath/Orson_Scott_Card_at_BYU_Symposium_20080216_closeup.jpg?width=300
Andrzej_Sapkowski,1948-06-21,,http://commons.wikimedia.org/wiki/Special:FilePath/Sapkowski.jpg?width=300
Jack_London,1876-01-12,1916-11-22,http://commons.wikimedia.org/wiki/Special:FilePath/JackLondon02.jpeg?width=300
Henning_Mankell,1948-02-03,,http://commons.wikimedia.org/wiki/Special:FilePath/Henning_Mankell_3_2011_Shankbone.jpg?width=300
Stanisław_Lem,1921-09-12,2006-03-27,http://commons.wikimedia.org/wiki/Special:FilePath/Stanislaw_Lem_2.jpg?width=300
Antoni_Gołubiew,1907-02-25,1979-06-27,http://commons.wikimedia.org/wiki/Special:FilePath/Antoni_Golubiew.jpg?width=300
Mikołaj_Kopernik,1473-02-19,1543-05-24,http://commons.wikimedia.org/wiki/Special:FilePath/Nikolaus_Kopernikus.jpg?width=300
Maria_Franciszka_Kozłowska,1862-05-27,,http://commons.wikimedia.org/wiki/Special:FilePath/Mateczk_Kozłowska.JPG?width=300
George_Orwell,1903-06-25,1950-01-21,http://commons.wikimedia.org/wiki/Special:FilePath/GeoreOrwell.jpg?width=300
William_Szekspir,1564-04-23,1616-05-03,http://commons.wikimedia.org/wiki/Special:FilePath/Shakespeare.jpg?width=300
J._K._Rowling,1965-07-31,,http://commons.wikimedia.org/wiki/Special:FilePath/J._K._Rowling_2010.jpg?width=300
John_Ronald_Reuel_Tolkien,1892-01-03,1973-09-02,http://commons.wikimedia.org/wiki/Special:FilePath/Tolkien_1916.jpg?width=300
Aleksander_Dumas_(ojciec),1802-07-24,1870-12-05,"http://commons.wikimedia.org/wiki/Special:FilePath/Dumas_by_Nadar,_1855.jpg?width=300"
Tadeusz_Dołęga-Mostowicz,1898-08-10,1939-09-20,http://commons.wikimedia.org/wiki/Special:FilePath/Tadeusz_Dolega-Mostowicz.jpg?width=300
Henryk_Sienkiewicz,1846-05-05,1916-11-15,http://commons.wikimedia.org/wiki/Special:FilePath/Henryk_Sienkiewicz.PNG?width=300
Vladimir_Nabokov,1899-04-22,1977-07-02,http://commons.wikimedia.org/wiki/Special:FilePath/Monument_Nabokov_Montreux_23.12.2006.jpg?width=300
Adolf_Hitler,1889-04-20,1945-04-30,http://commons.wikimedia.org/wiki/Special:FilePath/Hitler_portrait_crop.jpg?width=300
Eliza_Orzeszkowa,1841-06-06,1910-05-18,http://commons.wikimedia.org/wiki/Special:FilePath/Eliza_Orzeszkowa.PNG?width=300
Christopher_Tolkien,1924-11-21,,
Benedykt_Chmielowski,1700-03-20,1763-04-07,http://commons.wikimedia.org/wiki/Special:FilePath/POL_COA_Nałęcz.svg?width=300
Aldous_Huxley,1894-07-26,1963-11-22,http://commons.wikimedia.org/wiki/Special:FilePath/Aldous_Huxley.JPG?width=300
Honoré_de_Balzac,1799-05-20,1850-08-18,http://commons.wikimedia.org/wiki/Special:FilePath/HBalzac.jpg?width=300
Franz_Kafka,1883-07-03,1924-06-03,http://commons.wikimedia.org/wiki/Special:FilePath/Kafka1906.jpg?width=300
Jan_Kochanowski,,1584-08-22,http://commons.wikimedia.org/wiki/Special:FilePath/Jan_Kochanowski.png?width=300
Howard_Phillips_Lovecraft,1890-08-20,1937-03-15,http://commons.wikimedia.org/wiki/Special:FilePath/Howard_Phillips_Lovecraft_in_1915.jpg?width=300
Karol_Olgierd_Borchardt,1905-03-25,1986-05-20,http://commons.wikimedia.org/wiki/Special:FilePath/Karol_Olgierd_Borchardt's_house_in_Gdynia.jpg?width=300
Lew_Tołstoj,1828-09-09,1910-11-20,http://commons.wikimedia.org/wiki/Special:FilePath/Ilya_Efimovich_Repin_(1844-1930)_-_Portrait_of_Leo_Tolstoy_(1887).jpg?width=300
Boris_Akunin,1956-05-20,,http://commons.wikimedia.org/wiki/Special:FilePath/Boris_Akunin_2012.jpg?width=300
Janusz_Zajdel,1938-08-15,1985-07-19,http://commons.wikimedia.org/wiki/Special:FilePath/Janusz_A_Zajdel.jpg?width=300
Jan_Paweł_II,1920-05-18,2005-04-02,http://commons.wikimedia.org/wiki/Special:FilePath/John_Paul_II_Medal_of_Freedom_2004.jpg?width=300
Isaac_Asimov,1919-10-04,1992-04-06,http://commons.wikimedia.org/wiki/Special:FilePath/Isaac.Asimov01.jpg?width=300
Ilja_Ilf,1897-10-15,1937-04-13,http://commons.wikimedia.org/wiki/Special:FilePath/Ilya_Ilf.jpg?width=300
Jewgienij_Pietrow_(pisarz),1903-12-13,1942-07-02,http://commons.wikimedia.org/wiki/Special:FilePath/Yevgeny_Petrov.jpg?width=300
Gabriela_Zapolska,1857-03-30,1921-12-17,http://commons.wikimedia.org/wiki/Special:FilePath/Gabriela_Zapolska.PNG?width=300
Jeffery_Deaver,1950-05-06,,http://commons.wikimedia.org/wiki/Special:FilePath/Jeffery_Deaver_October_2006.jpg?width=300
Terry_Pratchett,1948-04-28,,"http://commons.wikimedia.org/wiki/Special:FilePath/Terry_Pratchett,_September_2009_1.jpg?width=300"
Clive_Staples_Lewis,1898-11-29,1963-11-22,"http://commons.wikimedia.org/wiki/Special:FilePath/Statue_of_C.S._Lewis,_Belfast.jpg?width=300"
Adam_Mickiewicz,1798-12-24,1855-11-26,http://commons.wikimedia.org/wiki/Special:FilePath/Adam_Mickiewicz_by_Jan_Mieczkowski.jpg?width=300
Andrzej_Pilipiuk,1974-03-20,,http://commons.wikimedia.org/wiki/Special:FilePath/Andrzej_Pilipiuk-Polcon2006.jpg?width=300
Ursula_K._Le_Guin,1929-10-21,,http://commons.wikimedia.org/wiki/Special:FilePath/UrsulaLeGuin.01.jpg?width=300
Iwan_Turgieniew,1818-11-09,1883-09-03,http://commons.wikimedia.org/wiki/Special:FilePath/Turgenev_by_Repin.jpg?width=300
George_R._R._Martin,1948-09-20,,http://commons.wikimedia.org/wiki/Special:FilePath/George_R_R_Martin_2011_Shankbone.JPG?width=300
Ryszard_Kapuściński,1932-03-04,2007-01-23,http://commons.wikimedia.org/wiki/Special:FilePath/Ryszard_Kapuscinski_by_Kubik_17.05.1997_-_cropped.jpg?width=300
Lucy_Maud_Montgomery,1874-11-30,1942-04-24,http://commons.wikimedia.org/wiki/Special:FilePath/Lucy_Maud_Montgomery.JPG?width=300
Dorota_Terakowska,1938-08-30,2004-01-04,http://commons.wikimedia.org/wiki/Special:FilePath/Dorota_Terakowska_grob.jpg?width=300
Alfred_Szklarski,1912-01-21,1992-04-09,http://commons.wikimedia.org/wiki/Special:FilePath/Katowice_-_pomnik_Alfred_Szklarski.JPG?width=300
Adam_Zelga,1953-03-11,,
Rafał_A._Ziemkiewicz,1964-09-13,,http://commons.wikimedia.org/wiki/Special:FilePath/Rafał_Ziemkiewicz.jpg?width=300
Anne_Rice,1941-10-04,,http://commons.wikimedia.org/wiki/Special:FilePath/Anne_Rice.jpg?width=300
Aleksander_Majkowski,1876-07-17,1938-02-10,http://commons.wikimedia.org/wiki/Special:FilePath/POL_Polonia_Restituta_Oficerski_BAR.svg?width=300
Ian_Fleming,1908-05-28,1964-08-12,http://commons.wikimedia.org/wiki/Special:FilePath/For_Your_Eyes_Only.jpg?width=300
Gene_Wolfe,1931-05-07,,"http://commons.wikimedia.org/wiki/Special:FilePath/Gene_Wolfe,_2005.png?width=300"
Paulo_Coelho,1947-08-24,,http://commons.wikimedia.org/wiki/Special:FilePath/Paulo_Coelho_nrkbeta.jpg?width=300
Tom_Clancy,1947-04-12,2013-10-01,http://commons.wikimedia.org/wiki/Special:FilePath/Tom_Clancy_at_Burns_Library_cropped.jpg?width=300
