Végjáték_(regény),,
Pani_Jeziora_(powieść),1999,
Bellew_Zawierucha,1912,
Fałszywy_trop_(powieść),1995,
Bajki_robotów,1964,
Bolesław_Chrobry_(powieść),1947,
De_revolutionibus_orbium_coelestium,1543,
Dzieło_Wielkiego_Miłosierdzia,1922,
Folwark_zwierzęcy,1945-08-17,http://commons.wikimedia.org/wiki/Special:FilePath/Animalism_flag.svg?width=300
Hamlet,,http://commons.wikimedia.org/wiki/Special:FilePath/Hamlet_quarto_3rd.jpg?width=300
Harry_Potter,1997,http://commons.wikimedia.org/wiki/Special:FilePath/Harry_Potter_wordmark.svg?width=300
"Hobbit,_czyli_tam_i_z_powrotem",1937,
Hrabia_Monte_Christo,1844,http://commons.wikimedia.org/wiki/Special:FilePath/Louis_Français-Dantès_sur_son_rocher.jpg?width=300
Kariera_Nikodema_Dyzmy,1932,
Krzyżacy_(powieść),1900,http://commons.wikimedia.org/wiki/Special:FilePath/PL_Henryk_Sienkiewicz-Krzyżacy_0005.jpeg?width=300
Lolita,1955,
Mein_Kampf,1925-07-18,http://commons.wikimedia.org/wiki/Special:FilePath/Landsberg.Jail.jpg?width=300
Nad_Niemnem,1888,http://commons.wikimedia.org/wiki/Special:FilePath/Nad_Niemnem_-_manuscript.jpg?width=300
Niedokończone_opowieści,1980,
Nowe_Ateny,1745,http://commons.wikimedia.org/wiki/Special:FilePath/Nowe_ateny1.jpg?width=300
Nowy_wspaniały_świat,1932,
Ogniem_i_mieczem,1884,http://commons.wikimedia.org/wiki/Special:FilePath/Podbipieta.JPG?width=300
Ojciec_Goriot,1835,http://commons.wikimedia.org/wiki/Special:FilePath/Father_Goriot_by_H._Daumier_(1842).JPG?width=300
Proces_(powieść),1925,http://commons.wikimedia.org/wiki/Special:FilePath/Kafka_Der_Prozess_1925.jpg?width=300
Psałterz_Dawidów,1579,http://commons.wikimedia.org/wiki/Special:FilePath/Kochanowski_-_Psałterz_Dawidów_(1579).jpg?width=300
Quo_vadis,1896,http://commons.wikimedia.org/wiki/Special:FilePath/Rzym_popiersie_Sienkiewicza_w_kosciele_Domine_Quo_Vadis.JPG?width=300
Romeo_i_Julia,1597,http://commons.wikimedia.org/wiki/Special:FilePath/Romeo_and_juliet_brown.jpg?width=300
Silmarillion,1977,"http://commons.wikimedia.org/wiki/Special:FilePath/Silmarrillion,_Just_under_the_Cover.jpg?width=300"
Solaris_(powieść),1961,"http://commons.wikimedia.org/wiki/Special:FilePath/Solaris,_various_editions_02.jpg?width=300"
Władca_Pierścieni,1954,http://commons.wikimedia.org/wiki/Special:FilePath/Unico_Anello.png?width=300
Zew_Cthulhu_(opowiadanie),1928,
Znaczy_Kapitan,1960,
Anna_Karenina,1877,http://commons.wikimedia.org/wiki/Special:FilePath/AnnaKareninaTitle.jpg?width=300
Azazel_(powieść),1998,
Bezsenność_(zbiór_opowiadań),1971,
Cała_prawda_o_planecie_Ksi,1983,
Dekorator,1998,
Diamentowa_karoca,2003,
Dives_in_misericordia,1980,http://commons.wikimedia.org/wiki/Special:FilePath/John_paul_2_coa.svg?width=300
Droga_na_molo_w_Wigan,1937-03-08,
Druga_Fundacja,1953,
Dwanaście_krzeseł,1928,http://commons.wikimedia.org/wiki/Special:FilePath/Ostap_Bender_Monument_in_Kharkiv.jpg?width=300
Fundacja_(powieść),1951,
Fundacja_i_Imperium,1952,
Gambit_turecki,1998,
Głos_Pana,1968,
Ich_czworo,1907,
Inwazja_z_Aldebarana_(zbiór_opowiadań),1959,
Kamienna_małpa,2002,
Katar_(powieść),1976,
Kochanek_Śmierci,2001,
Kochanka_Śmierci,2001,
Koronacja_(powieść),1999,
Kot_w_stanie_czystym,1989,
Koń_i_jego_chłopiec,1954,
Księga_robotów,1961,
Księgi_narodu_polskiego_i_pielgrzymstwa_polskiego,1832,http://commons.wikimedia.org/wiki/Special:FilePath/PL_Księgi_narodu_polskiego_i_pielgrzymstwa_polskiego_008.png?width=300
Kuzynki,2003,
Lewa_ręka_ciemności,1969,
Lewiatan_(powieść),1998,
Mag_(powieść_J._Deavera),2003-03-11,
Maska_(zbiór_dzieł),1976,
Niezwyciężony_i_inne_opowiadania,1964,
Noc_księżycowa,1963,
Ojcowie_i_dzieci,luty 1862,http://commons.wikimedia.org/wiki/Special:FilePath/Otsy1880.jpg?width=300
Pamiętnik_znaleziony_w_wannie,1961,
Pieśń_Lodu_i_Ognia,1996,
Podróże_z_Herodotem,2004,
Polowanie_(zbiór_opowiadań),1965,
Powtórka_(zbiór_dzieł),1979,
Pożytek_ze_smoka,1993,
Preludium_Fundacji,1988,
Radca_stanu_(powieść),1998,
Rasa_drapieżców._Teksty_ostatnie,2006,
Rilla_ze_Złotego_Brzegu,1921,
Sen_nocy_letniej,1600,http://commons.wikimedia.org/wiki/Special:FilePath/MND_title_page.jpg?width=300
Sezam_i_inne_opowiadania,1954,
Slavorum_apostoli,1985,http://commons.wikimedia.org/wiki/Special:FilePath/John_paul_2_coa.svg?width=300
Summa_technologiae,1964,
Tam_gdzie_spadają_anioły,1998,
Tomek_u_źródeł_Amazonki,1967,
Tomek_w_Gran_Chaco,1987,
Tomek_w_grobowcach_faraonów,1994,
Ut_unum_sint,1995,http://commons.wikimedia.org/wiki/Special:FilePath/John_paul_2_coa.svg?width=300
Veritatis_splendor,1993,http://commons.wikimedia.org/wiki/Special:FilePath/John_paul_2_coa.svg?width=300
Walc_stulecia,1998,
Walet_pikowy_(powieść),1998,
Wampir_Lestat,1985,
Wizja_lokalna_(powieść),1982,
Wojna_i_pokój,1865,http://commons.wikimedia.org/wiki/Special:FilePath/War-and-peace_1873.gif?width=300
Śmierć_Achillesa,1998,
Życie_i_przygody_Remusa,1938,
Casino_Royale_(powieść),1953-04-13,
Cień_kata,1980,
Czarnoksiężnik_z_Archipelagu,1968,
Czarownica_z_Portobello,2006,
Czas_patriotów_(powieść),1987,
